along_x,sign,team,lane,gap,enemy_hold,status,start_s,ready_s,exchange_s,end_s,front_loss,formation_loss,front_routed,reserve_routed,last_phase,battle_ended
0,1.000,0,3,1,0,aborted,0.017,0.017,-1.000,15.867,2.034,56.789,0,1,2,0
0,1.000,0,3,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,5.940,49.966,0,0,5,0
0,1.000,0,3,0,0,aborted,0.017,3.417,-1.000,18.783,5.940,74.880,0,1,3,0
0,1.000,1,1,1,1,restored,0.017,0.017,11.617,11.617,1.085,31.476,0,0,3,0
0,1.000,1,1,1,0,aborted,0.017,0.017,-1.000,16.033,1.085,52.997,0,1,2,0
0,1.000,1,1,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,4.985,48.976,0,0,5,0
0,1.000,1,1,0,0,aborted,0.017,3.417,-1.000,18.950,4.985,71.641,0,1,3,0
0,1.000,1,2,1,1,restored,0.017,0.017,11.617,11.617,1.085,29.927,0,0,3,0
0,1.000,1,2,1,0,restored,0.017,0.017,11.617,11.617,1.085,38.134,0,0,3,0
0,1.000,1,2,0,1,exchanged_interrupted,0.017,6.817,18.417,30.367,8.733,69.825,0,1,5,0
0,1.000,1,2,0,0,aborted,0.017,6.817,-1.000,21.133,14.014,74.426,1,0,2,0
0,1.000,1,3,1,1,restored,0.017,0.017,11.617,11.617,0.906,31.037,0,0,3,0
0,1.000,1,3,1,0,aborted,0.017,0.017,-1.000,16.050,0.906,54.214,0,1,2,0
0,1.000,1,3,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,4.732,48.548,0,0,5,0
0,1.000,1,3,0,0,aborted,0.017,3.417,-1.000,18.967,4.732,71.700,0,1,3,0
1,-1.000,0,1,1,1,restored,0.017,0.017,11.617,11.617,1.750,32.653,0,0,3,0
1,-1.000,0,1,1,0,aborted,0.017,0.017,-1.000,15.933,1.750,53.712,0,1,2,0
1,-1.000,0,1,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,5.667,49.399,0,0,5,0
1,-1.000,0,1,0,0,aborted,0.017,3.417,-1.000,18.833,5.667,70.693,0,1,3,0
1,-1.000,0,2,1,1,restored,0.017,0.017,11.617,11.617,1.750,29.932,0,0,3,0
1,-1.000,0,2,1,0,restored,0.017,0.017,11.617,11.617,1.750,38.476,0,0,3,0
1,-1.000,0,2,0,1,exchanged_interrupted,0.017,6.800,18.400,29.000,9.380,68.827,0,1,5,0
1,-1.000,0,2,0,0,aborted,0.017,6.800,-1.000,28.967,9.378,84.863,0,1,2,0
1,-1.000,0,3,1,1,restored,0.017,0.017,11.617,11.617,1.518,32.183,0,0,3,0
1,-1.000,0,3,1,0,aborted,0.017,0.017,-1.000,15.933,1.518,55.889,0,1,2,0
1,-1.000,0,3,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,5.440,49.202,0,0,5,0
1,-1.000,0,3,0,0,aborted,0.017,3.417,-1.000,18.833,5.440,73.620,0,1,3,0
1,-1.000,1,1,1,1,restored,0.017,0.017,11.617,11.617,1.518,32.183,0,0,3,0
1,-1.000,1,1,1,0,aborted,0.017,0.017,-1.000,15.933,1.518,55.889,0,1,2,0
1,-1.000,1,1,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,5.440,49.202,0,0,5,0
1,-1.000,1,1,0,0,aborted,0.017,3.417,-1.000,18.833,5.440,73.620,0,1,3,0
1,-1.000,1,2,1,1,restored,0.017,0.017,11.617,11.617,1.518,29.465,0,0,3,0
1,-1.000,1,2,1,0,restored,0.017,0.017,11.617,11.617,1.518,40.519,0,0,3,0
1,-1.000,1,2,0,1,exchanged_interrupted,0.017,6.800,18.400,29.633,9.381,69.743,0,1,5,0
1,-1.000,1,2,0,0,aborted,0.017,6.800,-1.000,20.250,14.013,74.602,1,0,2,0
1,-1.000,1,3,1,1,restored,0.017,0.017,11.617,11.617,1.750,32.653,0,0,3,0
1,-1.000,1,3,1,0,aborted,0.017,0.017,-1.000,15.933,1.750,53.712,0,1,2,0
1,-1.000,1,3,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,5.667,49.399,0,0,5,0
1,-1.000,1,3,0,0,aborted,0.017,3.417,-1.000,18.833,5.667,70.693,0,1,3,0
1,1.000,0,1,1,1,restored,0.017,0.017,11.617,11.617,1.750,32.653,0,0,3,0
1,1.000,0,1,1,0,aborted,0.017,0.017,-1.000,15.933,1.750,53.712,0,1,2,0
1,1.000,0,1,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,5.667,49.399,0,0,5,0
1,1.000,0,1,0,0,aborted,0.017,3.417,-1.000,18.833,5.667,70.693,0,1,3,0
1,1.000,0,2,1,1,restored,0.017,0.017,11.617,11.617,1.750,29.932,0,0,3,0
1,1.000,0,2,1,0,restored,0.017,0.017,11.617,11.617,1.750,38.476,0,0,3,0
1,1.000,0,2,0,1,aborted,0.017,6.800,-1.000,28.650,9.380,68.149,0,1,3,0
1,1.000,0,2,0,0,aborted,0.017,6.800,-1.000,28.967,9.378,91.864,0,1,2,0
1,1.000,0,3,1,1,restored,0.017,0.017,11.617,11.617,1.518,32.183,0,0,3,0
1,1.000,0,3,1,0,aborted,0.017,0.017,-1.000,15.933,1.518,55.889,0,1,2,0
1,1.000,0,3,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,5.440,49.202,0,0,5,0
1,1.000,0,3,0,0,aborted,0.017,3.417,-1.000,18.833,5.440,73.620,0,1,3,0
1,1.000,1,1,1,1,restored,0.017,0.017,11.617,11.617,1.518,32.183,0,0,3,0
1,1.000,1,1,1,0,aborted,0.017,0.017,-1.000,15.933,1.518,55.889,0,1,2,0
1,1.000,1,1,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,5.440,49.202,0,0,5,0
1,1.000,1,1,0,0,aborted,0.017,3.417,-1.000,18.833,5.440,73.620,0,1,3,0
1,1.000,1,2,1,1,restored,0.017,0.017,11.617,11.617,1.518,29.465,0,0,3,0
1,1.000,1,2,1,0,restored,0.017,0.017,11.617,11.617,1.518,40.519,0,0,3,0
1,1.000,1,2,0,1,aborted,0.017,6.800,-1.000,29.233,9.381,69.436,0,1,3,0
1,1.000,1,2,0,0,aborted,0.017,6.800,-1.000,29.050,9.381,86.475,0,1,2,0
1,1.000,1,3,1,1,restored,0.017,0.017,11.617,11.617,1.750,32.653,0,0,3,0
1,1.000,1,3,1,0,aborted,0.017,0.017,-1.000,15.933,1.750,53.712,0,1,2,0
1,1.000,1,3,0,1,exchanged_interrupted,0.017,3.417,15.017,18.417,5.667,49.399,0,0,5,0
1,1.000,1,3,0,0,aborted,0.017,3.417,-1.000,18.833,5.667,70.693,0,1,3,0
